Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Aug 2018 - Installations Quantity,Aug 2018 - SGU Rated Output In kW,Sep 2018 - Installations Quantity,Sep 2018 - SGU Rated Output In kW,Oct 2018 - Installations Quantity,Oct 2018 - SGU Rated Output In kW,Nov 2018 - Installations Quantity,Nov 2018 - SGU Rated Output In kW,Dec 2018 - Installations Quantity,Dec 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.460,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,4,4.460
0200,1,0.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,0.080
0800,39,528.940,0,0.000,0,0.000,0,0.000,1,85.260,0,0.000,0,0.000,1,99.180,2,91.180,1,6.270,0,0.000,0,0.000,0,0.000,1,31.900,0,0.000,0,0.000,2,146.890,0,0.000,2,133.820,0,0.000,2,42.750,1,99.900,1,59.400,0,0.000,2,13.080,55,"1,338.570"
0801,5,78.168,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,24.840,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,31.860,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,7,134.868
0803,1,6.120,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,5.565,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,11.685
0804,11,42.635,0,0.000,0,0.000,1,4.590,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,15.125,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,14,68.950
0810,"1,197","5,675.771",16,76.167,10,41.156,27,128.935,20,96.561,36,245.724,44,324.435,48,293.052,53,292.449,25,149.037,54,494.340,44,325.440,17,273.380,28,265.835,16,89.425,22,125.545,21,126.130,38,297.525,26,203.540,33,196.187,65,418.817,31,182.800,36,211.935,42,337.390,42,421.510,"1,991","11,293.086"
0811,2,9.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,9.000
0812,579,"2,539.107",8,35.368,8,36.538,6,27.586,6,122.650,18,86.976,19,132.173,25,134.384,24,137.998,20,139.075,24,231.698,24,157.105,13,92.706,10,64.388,18,103.503,28,308.210,13,68.970,24,145.858,15,85.965,18,127.655,19,114.710,13,81.280,27,171.860,35,314.510,26,170.345,"1,020","5,630.618"
0813,6,78.949,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,6,78.949
