Item,Postcode from,Postcode to,Zone,Rating
1,0,799,3,1.382
2,800,853,2,1.536
3,854,854,3,1.382
4,855,861,2,1.536
5,862,862,3,1.382
6,863,869,2,1.536
7,870,879,1,1.622
8,880,885,3,1.382
9,886,1000,2,1.536
10,1001,2355,3,1.382
11,2356,2357,2,1.536
12,2358,2384,3,1.382
13,2385,2389,2,1.536
14,2390,2395,3,1.382
15,2396,2397,2,1.536
16,2398,2399,3,1.382
17,2400,2400,2,1.536
18,2401,2404,3,1.382
19,2405,2407,2,1.536
20,2408,2544,3,1.382
21,2545,2554,4,1.185
22,2555,2627,3,1.382
23,2628,2628,4,1.185
24,2629,2629,3,1.382
25,2630,2639,4,1.185
26,2640,2816,3,1.382
27,2817,2817,2,1.536
28,2818,2820,3,1.382
29,2821,2829,2,1.536
30,2830,2830,3,1.382
31,2831,2841,2,1.536
32,2842,2872,3,1.382
33,2873,2873,2,1.536
34,2874,2877,3,1.382
35,2878,2889,2,1.536
36,2890,2999,3,1.382
37,3000,3035,4,1.185
38,3036,3038,3,1.382
39,3039,3044,4,1.185
40,3045,3045,3,1.382
41,3046,3046,4,1.185
42,3047,3049,3,1.382
43,3050,3058,4,1.185
44,3059,3059,3,1.382
45,3060,3060,4,1.185
46,3061,3064,3,1.382
47,3065,3074,4,1.185
48,3075,3076,3,1.382
49,3077,3098,4,1.185
50,3099,3099,3,1.382
51,3100,3292,4,1.185
52,3293,3302,3,1.382
53,3303,3308,4,1.185
54,3309,3319,3,1.382
55,3320,3333,4,1.185
56,3334,3337,3,1.382
57,3338,3339,4,1.185
58,3340,3758,3,1.382
59,3759,3760,4,1.185
60,3761,3764,3,1.382
61,3765,3999,4,1.185
62,4000,4416,3,1.382
63,4417,4417,2,1.536
64,4418,4427,3,1.382
65,4428,4473,2,1.536
66,4474,4476,1,1.622
67,4477,4478,2,1.536
68,4479,4485,1,1.622
69,4486,4491,2,1.536
70,4492,4492,1,1.622
71,4493,4493,2,1.536
72,4494,4494,3,1.382
73,4495,4497,2,1.536
74,4498,4719,3,1.382
75,4720,4722,2,1.536
76,4723,4723,3,1.382
77,4724,4734,2,1.536
78,4735,4736,1,1.622
79,4737,4822,3,1.382
80,4823,4823,2,1.536
81,4824,4824,3,1.382
82,4825,4827,2,1.536
83,4828,4828,3,1.382
84,4829,4829,1,1.622
85,4830,5431,3,1.382
86,5432,5450,2,1.536
87,5451,5654,3,1.382
88,5655,5669,2,1.536
89,5670,5679,3,1.382
90,5680,5699,2,1.536
91,5700,5709,3,1.382
92,5710,5722,2,1.536
93,5723,5724,1,1.622
94,5725,5730,2,1.536
95,5731,5731,1,1.622
96,5732,5732,2,1.536
97,5733,5799,1,1.622
98,5800,6043,3,1.382
99,6044,6044,2,1.536
100,6045,6256,3,1.382
101,6257,6270,4,1.185
102,6271,6316,3,1.382
103,6317,6349,4,1.185
104,6350,6353,3,1.382
105,6354,6356,4,1.185
106,6357,6394,3,1.382
107,6395,6400,4,1.185
108,6401,6430,3,1.382
109,6431,6431,2,1.536
110,6432,6433,3,1.382
111,6434,6440,2,1.536
112,6441,6441,1,1.622
113,6442,6444,3,1.382
114,6445,6459,4,1.185
115,6460,6467,3,1.382
116,6468,6469,2,1.536
117,6470,6471,3,1.382
118,6472,6472,2,1.536
119,6473,6506,3,1.382
120,6507,6508,2,1.536
121,6509,6509,3,1.382
122,6510,6536,2,1.536
123,6537,6537,1,1.622
124,6538,6555,2,1.536
125,6556,6573,3,1.382
126,6574,6602,2,1.536
127,6603,6607,3,1.382
128,6608,6641,2,1.536
129,6642,6724,1,1.622
130,6725,6750,2,1.536
131,6751,6764,1,1.622
132,6765,6765,2,1.536
133,6766,6797,1,1.622
134,6798,6799,2,1.536
135,6800,6999,3,1.382
136,7000,8999,4,1.185
137,9000,9999,3,1.382
,,,,
